passengerId,flightId,from,to,date
48,0,cg,ir,2017-01-01
94,0,cg,ir,2017-01-01
82,0,cg,ir,2017-01-01
21,0,cg,ir,2017-01-01
51,0,cg,ir,2017-01-01
33,0,cg,ir,2017-01-01
20,0,cg,ir,2017-01-01
10,0,cg,ir,2017-01-01
49,0,cg,ir,2017-01-01
32,0,cg,ir,2017-01-01
70,0,cg,ir,2017-01-01
28,0,cg,ir,2017-01-01
42,0,cg,ir,2017-01-01
62,0,cg,ir,2017-01-01
80,0,cg,ir,2017-01-01
13,0,cg,ir,2017-01-01
46,0,cg,ir,2017-01-01
43,0,cg,ir,2017-01-01
17,0,cg,ir,2017-01-01
16,0,cg,ir,2017-01-01
6,0,cg,ir,2017-01-01
35,0,cg,ir,2017-01-01
89,0,cg,ir,2017-01-01
65,0,cg,ir,2017-01-01
4,0,cg,ir,2017-01-01
90,0,cg,ir,2017-01-01
85,0,cg,ir,2017-01-01
87,0,cg,ir,2017-01-01
27,0,cg,ir,2017-01-01
61,0,cg,ir,2017-01-01
11,0,cg,ir,2017-01-01
41,0,cg,ir,2017-01-01
67,0,cg,ir,2017-01-01
26,0,cg,ir,2017-01-01
47,0,cg,ir,2017-01-01
75,0,cg,ir,2017-01-01
39,0,cg,ir,2017-01-01
31,0,cg,ir,2017-01-01
22,0,cg,ir,2017-01-01
23,0,cg,ir,2017-01-01
63,0,cg,ir,2017-01-01
98,0,cg,ir,2017-01-01
71,0,cg,ir,2017-01-01
55,0,cg,ir,2017-01-01
25,0,cg,ir,2017-01-01
76,0,cg,ir,2017-01-01
79,0,cg,ir,2017-01-01
29,0,cg,ir,2017-01-01
37,0,cg,ir,2017-01-01
14,0,cg,ir,2017-01-01
57,0,cg,ir,2017-01-01
30,0,cg,ir,2017-01-01
92,0,cg,ir,2017-01-01
44,0,cg,ir,2017-01-01
40,0,cg,ir,2017-01-01
77,0,cg,ir,2017-01-01
38,0,cg,ir,2017-01-01
54,0,cg,ir,2017-01-01
18,0,cg,ir,2017-01-01
72,0,cg,ir,2017-01-01
7,0,cg,ir,2017-01-01
52,0,cg,ir,2017-01-01
69,0,cg,ir,2017-01-01
64,0,cg,ir,2017-01-01
73,0,cg,ir,2017-01-01
53,0,cg,ir,2017-01-01
93,0,cg,ir,2017-01-01
19,0,cg,ir,2017-01-01
100,0,cg,ir,2017-01-01
86,0,cg,ir,2017-01-01
66,0,cg,ir,2017-01-01
68,0,cg,ir,2017-01-01
88,0,cg,ir,2017-01-01
81,0,cg,ir,2017-01-01
99,0,cg,ir,2017-01-01
95,0,cg,ir,2017-01-01
78,0,cg,ir,2017-01-01
8,0,cg,ir,2017-01-01
83,0,cg,ir,2017-01-01
2,0,cg,ir,2017-01-01
50,0,cg,ir,2017-01-01
12,0,cg,ir,2017-01-01
60,0,cg,ir,2017-01-01
36,0,cg,ir,2017-01-01
34,0,cg,ir,2017-01-01
3,0,cg,ir,2017-01-01
96,0,cg,ir,2017-01-01
24,0,cg,ir,2017-01-01
1,0,cg,ir,2017-01-01
5,0,cg,ir,2017-01-01
97,0,cg,ir,2017-01-01
58,0,cg,ir,2017-01-01
56,0,cg,ir,2017-01-01
84,0,cg,ir,2017-01-01
9,0,cg,ir,2017-01-01
45,0,cg,ir,2017-01-01
59,0,cg,ir,2017-01-01
15,0,cg,ir,2017-01-01
91,0,cg,ir,2017-01-01
74,0,cg,ir,2017-01-01
127,1,co,ir,2017-01-01
119,1,co,ir,2017-01-01
137,1,co,ir,2017-01-01
198,1,co,ir,2017-01-01
191,1,co,ir,2017-01-01
114,1,co,ir,2017-01-01
165,1,co,ir,2017-01-01
108,1,co,ir,2017-01-01
124,1,co,ir,2017-01-01
135,1,co,ir,2017-01-01
160,1,co,ir,2017-01-01
181,1,co,ir,2017-01-01
118,1,co,ir,2017-01-01
166,1,co,ir,2017-01-01
133,1,co,ir,2017-01-01
192,1,co,ir,2017-01-01
106,1,co,ir,2017-01-01
162,1,co,ir,2017-01-01
164,1,co,ir,2017-01-01
150,1,co,ir,2017-01-01
112,1,co,ir,2017-01-01
153,1,co,ir,2017-01-01
104,1,co,ir,2017-01-01
187,1,co,ir,2017-01-01
123,1,co,ir,2017-01-01
132,1,co,ir,2017-01-01
155,1,co,ir,2017-01-01
184,1,co,ir,2017-01-01
139,1,co,ir,2017-01-01
144,1,co,ir,2017-01-01
178,1,co,ir,2017-01-01
115,1,co,ir,2017-01-01
122,1,co,ir,2017-01-01
126,1,co,ir,2017-01-01
173,1,co,ir,2017-01-01
148,1,co,ir,2017-01-01
157,1,co,ir,2017-01-01
105,1,co,ir,2017-01-01
138,1,co,ir,2017-01-01
186,1,co,ir,2017-01-01
143,1,co,ir,2017-01-01
195,1,co,ir,2017-01-01
141,1,co,ir,2017-01-01
111,1,co,ir,2017-01-01
152,1,co,ir,2017-01-01
177,1,co,ir,2017-01-01
121,1,co,ir,2017-01-01
171,1,co,ir,2017-01-01
176,1,co,ir,2017-01-01
156,1,co,ir,2017-01-01
125,1,co,ir,2017-01-01
188,1,co,ir,2017-01-01
158,1,co,ir,2017-01-01
107,1,co,ir,2017-01-01
142,1,co,ir,2017-01-01
183,1,co,ir,2017-01-01
134,1,co,ir,2017-01-01
120,1,co,ir,2017-01-01
117,1,co,ir,2017-01-01
154,1,co,ir,2017-01-01
199,1,co,ir,2017-01-01
103,1,co,ir,2017-01-01
200,1,co,ir,2017-01-01
194,1,co,ir,2017-01-01
182,1,co,ir,2017-01-01
168,1,co,ir,2017-01-01
159,1,co,ir,2017-01-01
116,1,co,ir,2017-01-01
196,1,co,ir,2017-01-01
130,1,co,ir,2017-01-01
197,1,co,ir,2017-01-01
140,1,co,ir,2017-01-01
109,1,co,ir,2017-01-01
193,1,co,ir,2017-01-01
167,1,co,ir,2017-01-01
149,1,co,ir,2017-01-01
174,1,co,ir,2017-01-01
179,1,co,ir,2017-01-01
131,1,co,ir,2017-01-01
163,1,co,ir,2017-01-01
175,1,co,ir,2017-01-01
185,1,co,ir,2017-01-01
110,1,co,ir,2017-01-01
172,1,co,ir,2017-01-01
189,1,co,ir,2017-01-01
147,1,co,ir,2017-01-01
146,1,co,ir,2017-01-01
180,1,co,ir,2017-01-01
145,1,co,ir,2017-01-01
169,1,co,ir,2017-01-01
151,1,co,ir,2017-01-01
102,1,co,ir,2017-01-01
129,1,co,ir,2017-01-01
161,1,co,ir,2017-01-01
113,1,co,ir,2017-01-01
101,1,co,ir,2017-01-01
170,1,co,ir,2017-01-01
136,1,co,ir,2017-01-01
190,1,co,ir,2017-01-01
128,1,co,ir,2017-01-01
299,2,ca,cn,2017-01-01
260,2,ca,cn,2017-01-01
269,2,ca,cn,2017-01-01
236,2,ca,cn,2017-01-01
290,2,ca,cn,2017-01-01
286,2,ca,cn,2017-01-01
253,2,ca,cn,2017-01-01
203,2,ca,cn,2017-01-01
242,2,ca,cn,2017-01-01
284,2,ca,cn,2017-01-01
228,2,ca,cn,2017-01-01
229,2,ca,cn,2017-01-01
240,2,ca,cn,2017-01-01
285,2,ca,cn,2017-01-01
273,2,ca,cn,2017-01-01
214,2,ca,cn,2017-01-01
248,2,ca,cn,2017-01-01
300,2,ca,cn,2017-01-01
292,2,ca,cn,2017-01-01
239,2,ca,cn,2017-01-01
257,2,ca,cn,2017-01-01
216,2,ca,cn,2017-01-01
281,2,ca,cn,2017-01-01
241,2,ca,cn,2017-01-01
283,2,ca,cn,2017-01-01
275,2,ca,cn,2017-01-01
263,2,ca,cn,2017-01-01
279,2,ca,cn,2017-01-01
224,2,ca,cn,2017-01-01
205,2,ca,cn,2017-01-01
255,2,ca,cn,2017-01-01
219,2,ca,cn,2017-01-01
268,2,ca,cn,2017-01-01
243,2,ca,cn,2017-01-01
206,2,ca,cn,2017-01-01
276,2,ca,cn,2017-01-01
235,2,ca,cn,2017-01-01
204,2,ca,cn,2017-01-01
266,2,ca,cn,2017-01-01
278,2,ca,cn,2017-01-01
222,2,ca,cn,2017-01-01
252,2,ca,cn,2017-01-01
223,2,ca,cn,2017-01-01
298,2,ca,cn,2017-01-01
209,2,ca,cn,2017-01-01
220,2,ca,cn,2017-01-01
238,2,ca,cn,2017-01-01
258,2,ca,cn,2017-01-01
210,2,ca,cn,2017-01-01
201,2,ca,cn,2017-01-01
270,2,ca,cn,2017-01-01
246,2,ca,cn,2017-01-01
230,2,ca,cn,2017-01-01
296,2,ca,cn,2017-01-01
262,2,ca,cn,2017-01-01
295,2,ca,cn,2017-01-01
211,2,ca,cn,2017-01-01
265,2,ca,cn,2017-01-01
244,2,ca,cn,2017-01-01
291,2,ca,cn,2017-01-01
289,2,ca,cn,2017-01-01
226,2,ca,cn,2017-01-01
271,2,ca,cn,2017-01-01
297,2,ca,cn,2017-01-01
233,2,ca,cn,2017-01-01
256,2,ca,cn,2017-01-01
217,2,ca,cn,2017-01-01
277,2,ca,cn,2017-01-01
247,2,ca,cn,2017-01-01
294,2,ca,cn,2017-01-01
249,2,ca,cn,2017-01-01
264,2,ca,cn,2017-01-01
282,2,ca,cn,2017-01-01
212,2,ca,cn,2017-01-01
267,2,ca,cn,2017-01-01
