Passenger 1 ID,Passenger 2 ID,Number of flights together
175,186,4
207,254,5
218,246,5
367,373,4
609,655,4
601,658,4
704,707,5
704,762,7
726,792,5
706,746,6
745,798,4
707,751,5
748,756,4
739,799,5
734,747,5
781,795,5
750,772,5
705,760,5
819,881,4
868,884,5
852,896,4
913,979,7
930,994,6
1035,1038,5
1023,1045,5
1262,1266,5
1369,1371,8
1315,1347,4
1415,1456,4
1427,1442,4
721,799,5
967,979,4
328,1056,5
1005,1220,4
374,792,4
724,1001,7
324,752,4
1922,1987,5
1919,1998,4
1918,1947,6
1941,1956,4
1902,1997,4
2144,2145,4
2126,2162,4
2135,2188,4
2148,2168,4
2270,2289,4
2217,2286,4
2242,2252,5
2218,2270,4
2268,2271,4
2409,2411,4
2441,2460,5
72,165,4
177,2326,4
2538,2571,4
2669,2676,4
2758,2776,5
2960,2991,4
2978,2981,4
3021,3039,4
3021,3096,5
3025,3090,6
3076,3096,4
3159,3195,6
232,3101,5
665,3171,4
3421,3438,4
3410,3479,4
3423,3495,4
3594,3596,4
3639,3671,5
3620,3635,5
368,3410,4
1053,3444,4
772,3477,4
3913,3990,4
4017,4080,7
4016,4044,7
4053,4059,7
295,649,4
289,2197,5
2152,3182,4
246,2183,4
246,603,5
2510,3180,4
468,2546,4
1645,2576,4
405,1062,5
333,3931,5
1561,3901,4
2886,3093,8
4222,4230,4
4247,4267,4
4281,4291,4
4224,4253,4
4260,4277,4
655,3447,4
419,2565,5
1293,2600,4
4376,4394,5
4350,4358,4
4350,4386,4
1314,2968,4
962,2972,5
918,1320,4
331,3924,4
2570,3924,4
1576,2567,4
2255,3510,4
4556,4575,5
4057,4376,4
4040,4376,6
4022,4344,6
4632,4667,4
4645,4655,7
4617,4630,4
4614,4628,5
435,1900,4
1484,2816,4
1914,3311,4
4758,4785,4
2446,3689,4
2004,3643,4
2767,4700,6
1484,4013,5
2969,4053,7
1696,4339,7
1818,4052,6
4903,4988,9
171,1728,4
3585,3655,4
920,2932,6
1347,2935,4
2223,2334,4
130,3547,5
1343,3540,4
58,1396,4
773,5112,4
831,3486,4
5435,5486,4
5468,5499,4
5421,5483,4
