Passenger 1 ID,Passenger 2 ID,Number of flights together
229,269,5
211,276,4
264,299,4
309,360,5
381,382,6
313,376,6
402,495,4
521,563,4
511,559,4
763,786,5
703,758,6
731,785,5
731,763,5
735,776,4
760,773,5
804,819,5
881,895,4
832,859,4
913,975,5
1044,1072,6
1038,1073,5
360,1057,5
381,1002,5
1322,1337,5
208,294,5
705,791,5
822,826,4
823,897,4
366,1013,5
334,1013,5
746,1026,4
739,1057,4
324,755,4
362,762,4
334,792,4
1949,1977,4
1918,1993,4
1934,1949,4
1913,1991,4
2120,2141,4
2111,2134,5
2111,2137,8
2109,2158,4
2112,2159,4
2134,2137,5
2145,2185,4
2233,2298,6
2256,2270,4
2207,2260,5
2235,2281,4
2244,2299,5
2486,2489,5
2419,2432,4
2458,2465,4
2441,2500,4
2426,2480,7
2415,2489,4
72,2392,4
72,2026,4
2545,2570,5
2516,2559,5
2665,2684,4
2963,2996,4
2972,2988,8
3019,3076,4
1288,1696,4
430,1299,4
3122,3134,4
3151,3198,5
3171,3173,6
3301,3317,4
3309,3367,6
266,610,5
610,3169,5
243,607,4
211,606,5
205,606,7
223,3132,4
693,3109,4
3408,3472,4
314,1503,4
3649,3661,4
364,3491,6
771,3411,5
3719,3739,4
3822,3887,4
3919,3947,7
3924,3933,4
3945,3949,4
3910,3947,4
4051,4053,4
4060,4083,4
4075,4090,4
4009,4088,4
295,3193,4
246,3195,4
218,3188,4
588,1446,4
1867,2705,4
4115,4129,5
248,1300,4
299,2568,4
1236,3932,4
2246,3548,4
1662,2848,5
4219,4245,6
701,3114,4
286,701,6
4317,4357,5
4326,4333,4
4329,4359,6
4388,4399,10
1254,2825,4
991,1570,5
1311,2937,4
805,3735,4
4449,4451,4
4420,4464,4
4409,4466,4
4441,4486,4
2072,3655,6
4580,4597,4
1016,2523,5
4609,4673,4
4667,4670,4
204,2759,4
1439,1844,4
3032,4143,4
119,3604,4
901,4035,6
930,4017,6
1818,4316,5
407,4011,5
407,4066,5
4850,4856,5
4869,4880,4
4930,4944,6
2595,2601,4
494,759,5
1252,3911,5
1012,3959,4
465,2699,4
1436,3171,6
5007,5081,5
1358,2467,5
2932,3639,4
1384,3589,4
923,2334,5
923,3679,4
1028,2935,5
5408,5420,5
5463,5479,4
5414,5479,6
1430,3858,5
2775,3184,5
1467,5059,5
940,4377,4
5627,5698,4
2959,5491,5
930,5420,4
4080,5466,5
928,5490,5
3343,5122,4
878,5647,5
2431,3642,4
780,4376,4
1145,1790,4
1722,5076,4
3858,4208,4
229,4224,4
5725,5793,5
5764,5792,4
4552,5450,5
4069,4554,5
4876,5343,4
2792,4977,4
2793,4927,4
3880,4975,4
602,3999,4
399,670,4
1258,2454,4
3569,3999,4
5927,5972,4
5926,5961,5
5979,5993,4
2134,3706,5
119,455,4
5718,5976,4
3930,6003,6
4674,6063,7
3920,5434,4
1692,5420,4
4903,5422,4
4609,5460,4
391,4646,6
1548,3861,4
4346,5467,4
6611,6658,5
6723,6739,5
6829,6897,5
6878,6880,5
3295,3963,7
391,5053,4
6972,6987,4
7003,7029,4
5041,6673,4
7149,7172,6
7356,7394,5
7349,7398,4
7431,7496,4
1892,2861,5
3931,7663,4
5755,5910,5
3102,6111,4
350,3519,5
2290,4283,5
5795,5911,7
45,5939,4
7717,7757,4
7702,7790,4
2700,4827,6
438,5788,5
7849,7858,5
3573,4184,4
4076,5096,7
2272,4440,4
2786,6159,4
2645,5800,4
8140,8157,4
8238,8300,4
8235,8281,5
3294,3512,4
935,5456,4
8383,8390,4
6565,8230,5
3253,7505,4
813,6503,4
1028,2101,4
826,3741,4
3472,4919,4
1654,4266,4
2575,7191,4
1244,8007,5
3642,7463,4
5494,6832,4
5494,6893,4
1619,6833,4
438,2294,4
438,6855,4
4674,6885,4
5966,6039,4
3544,6853,5
6008,6848,4
4316,6839,4
5744,6047,4
5720,6858,4
5734,6069,4
4481,6039,4
6737,8025,5
1789,8402,5
4627,6294,6
2571,8429,4
6725,7613,4
877,2530,5
1063,1868,4
167,8225,5
5789,7866,8
135,7396,5
2684,5260,5
3169,7602,4
2776,7618,4
606,2326,4
606,3855,5
8956,8970,4
8972,8994,4
8904,8995,7
8968,8970,4
1028,7120,4
1437,5403,6
1719,2432,4
1169,1747,4
95,8289,5
2326,7318,4
441,7868,7
290,8294,5
1493,8045,7
1183,3609,4
3255,7676,5
592,3255,5
3115,5232,4
1933,3106,5
4338,6127,4
9061,9074,5
773,3307,4
288,1042,5
2392,3329,4
701,1321,5
5737,7810,5
6338,9050,5
6507,9095,4
5509,7662,7
5509,6745,5
1646,6796,4
6805,9098,8
9259,9286,4
5787,8068,4
5989,6100,4
8089,8485,4
5564,6205,4
707,3466,4
9345,9366,4
5592,8837,5
9441,9472,6
9620,9684,5
9631,9658,4
9634,9679,6
9634,9676,4
9622,9665,5
9718,9761,4
9728,9786,5
3760,6061,4
5560,9581,4
979,9517,4
3937,9327,4
8893,9263,4
10023,10083,6
1209,2719,5
5418,7392,4
5518,9924,5
2030,2379,5
2030,6338,4
3962,8909,4
1386,5027,4
3859,7222,6
5094,9303,4
3439,7131,5
3439,9640,5
5383,7131,5
4553,9634,5
4860,7131,5
174,4774,6
1321,9791,5
6733,6857,5
10203,10256,4
8099,10150,5
5522,9700,6
4401,8576,4
1818,5330,4
2773,6289,4
1163,7996,5
9755,10104,4
10327,10394,5
5799,8526,4
5303,9264,4
163,7163,4
6322,8572,5
5232,9166,4
3012,9443,6
3483,6769,4
2625,6447,4
2939,8269,5
6020,6357,4
7636,9333,4
5867,9336,4
6447,10325,6
6084,10356,5
10412,10414,4
10486,10496,4
10414,10428,4
10437,10458,5
10419,10494,5
10411,10429,4
10434,10456,6
10416,10496,5
10416,10476,4
1451,3234,4
5005,8398,4
6707,10371,5
2068,10377,6
2482,7243,5
8158,10377,6
5944,9929,5
1917,10377,6
4283,10368,5
511,10596,4
3002,3618,5
2945,3618,5
61,4820,5
10702,10788,4
10764,10798,4
2197,5416,4
10806,10900,8
2063,7718,4
3149,9498,4
7789,10596,4
11022,11035,4
11011,11041,6
11130,11157,4
11129,11174,4
11127,11132,4
11127,11183,4
11127,11194,4
11142,11163,4
11115,11178,4
11122,11189,4
11205,11217,4
3518,10926,4
9063,9997,4
2097,11276,4
4591,9621,4
1678,3029,4
7209,10712,4
191,10795,4
11353,11360,6
11469,11496,4
521,8832,4
1403,11011,4
4092,10541,4
1340,5923,4
1164,2097,5
3677,8114,6
6541,8595,4
4514,6541,4
7335,9563,5
3214,7830,5
9026,11073,4
11837,11880,4
8510,11450,4
1955,9906,6
2284,2785,4
2706,7685,5
3322,8353,6
2002,8513,4
253,4031,4
4031,5977,5
3784,10235,4
10615,11842,4
1429,7590,7
2392,2957,4
11180,11729,4
167,9380,4
2100,9380,5
4823,5696,4
1670,10023,5
1670,5530,4
5696,8912,4
8912,10037,4
241,5209,4
400,4364,4
614,4188,4
557,4217,4
557,6024,4
728,8912,4
2532,9659,4
366,3934,5
908,10298,4
335,7950,4
47,1617,4
4816,6286,4
2544,3112,5
4056,4293,4
6113,10267,5
8679,10541,6
5056,10497,4
3243,8519,4
3243,8006,6
9522,10541,5
167,8584,5
3021,9386,6
3407,3648,4
11296,11948,4
6093,8289,4
6579,11843,4
1383,9177,6
4917,9495,4
1079,9495,4
8684,9493,5
9385,11221,4
581,1900,4
4749,7507,5
1024,11407,4
1464,11957,5
5416,6783,4
218,8644,4
6165,10796,4
3361,10203,4
10310,10719,6
4273,10822,4
871,10837,7
1041,11642,4
4713,8128,4
6471,8368,4
4737,9359,5
4275,11723,5
5356,11057,4
12340,12396,4
12328,12340,4
1562,8501,6
7724,11211,4
8375,9511,4
3538,11021,4
10196,10382,5
12438,12497,4
7243,10572,4
4170,10394,5
855,5479,5
2391,4147,5
7481,7834,4
5803,10354,5
1845,9516,4
524,2702,4
10670,11123,4
763,10728,4
1955,9992,4
11243,11784,5
1266,11253,5
3332,9600,4
9712,10728,4
7007,8988,6
6349,8301,4
1365,11963,4
10989,12005,5
12572,12585,4
12558,12574,5
12541,12585,4
5690,10683,4
10277,10565,4
3020,11840,4
1812,4791,5
3524,8889,4
3409,9742,5
3529,7626,4
9974,10067,6
5571,9746,4
3542,4791,4
2251,11326,4
12875,12887,4
7123,10365,4
6532,11483,4
1611,1889,4
4130,8320,4
4816,5613,4
9439,10266,4
4718,10266,4
7139,8912,6
11714,12929,4
9435,9816,5
9355,10357,5
2545,12385,4
919,10229,8
7811,9984,4
9653,10398,4
874,9897,4
3752,5483,4
4209,7956,5
1198,13178,4
2214,3575,4
5355,8590,5
1417,5355,4
5796,11756,4
4410,8223,4
926,9366,7
3173,4772,4
11450,11834,5
10329,10496,4
5275,13623,4
7540,13618,4
12531,13628,4
8892,9721,4
3680,6335,4
10802,13251,5
7327,13549,5
7321,12197,4
3977,11213,4
2605,13903,4
137,11717,4
370,12582,4
3364,4143,4
5760,11846,4
2251,13620,5
7288,7959,5
5405,6415,5
4353,10640,4
12979,13878,4
4989,6526,4
8206,13432,4
2702,14077,4
6067,13571,5
13218,13561,5
1591,7661,7
8057,13571,7
7060,7721,5
4770,13561,5
8102,8529,4
6758,8025,5
363,5919,5
3690,10318,4
10568,14022,4
2610,8196,4
3897,13296,4
3897,5754,4
183,7721,7
183,10067,7
1009,8383,4
7661,10938,4
4685,11572,4
5212,13163,4
42,2350,4
11089,13950,4
8116,13950,4
5516,13565,4
4744,8446,4
1200,10595,4
9480,12299,4
14720,14777,5
3962,15186,4
79,12144,4
6,66,4
184,199,4
315,368,5
544,563,4
611,658,5
762,771,6
746,773,5
703,707,5
716,759,8
732,744,5
722,728,4
751,752,8
735,790,4
833,845,4
844,845,4
831,847,6
831,878,4
851,881,4
832,850,4
1002,1044,5
378,1057,4
1226,1236,4
1447,1472,4
1444,1482,5
305,330,5
622,688,4
709,797,6
701,795,5
718,775,4
1401,1413,5
385,721,6
354,760,4
778,1095,5
328,733,4
328,791,4
792,1057,4
362,739,4
334,771,4
1077,1219,4
1569,1598,5
1837,1888,4
1998,2000,4
1904,1933,4
1969,1986,4
1984,1993,4
1936,1954,4
1917,1945,4
1902,1941,4
2114,2119,4
2148,2162,4
2226,2241,6
2256,2265,4
2203,2250,4
2216,2253,4
2478,2484,5
2548,2562,4
2544,2594,4
2546,2584,4
2669,2672,7
2647,2665,4
2712,2743,4
2929,2944,4
3104,3146,6
3162,3173,4
3332,3367,5
684,3123,7
682,3145,5
611,3157,4
601,3169,5
333,2667,4
3582,3593,5
3502,3589,5
3509,3554,6
3515,3595,5
2130,3177,4
1895,2798,4
746,3475,4
1023,3402,5
772,3471,4
3723,3770,4
3904,3930,4
3908,3978,4
4032,4046,5
4007,4035,4
4053,4075,4
2199,3159,4
292,2183,4
1458,1853,4
650,2545,4
606,2521,4
1561,3978,4
2233,3561,5
199,2886,4
4202,4284,4
603,716,4
2554,3104,6
4316,4353,7
4344,4376,5
4371,4388,4
993,2992,6
1305,2944,4
2260,3525,5
2284,3536,4
4440,4473,4
126,3648,4
4034,4321,6
4080,4388,6
4069,4388,4
4673,4675,4
1666,2717,7
199,1470,4
2783,2959,6
1377,2743,4
1813,2911,4
979,2802,5
4726,4765,6
2867,4052,5
928,4009,5
1314,4009,5
975,4017,5
2511,4052,5
4845,4850,5
4944,4965,4
4979,4988,4
4917,4979,4
325,641,5
1436,4125,6
5012,5043,4
5065,5072,4
5154,5171,4
5311,5312,6
946,3681,4
1384,3540,4
2910,3536,4
1313,2335,4
1327,1470,5
184,997,6
385,5122,4
5436,5439,6
5408,5446,5
5416,5477,4
5478,5499,4
5426,5458,6
5432,5440,4
5404,5436,6
5566,5579,6
905,4071,5
1666,5432,5
4025,5484,5
2511,5484,5
4316,5456,6
56,1984,4
758,1244,5
4217,5319,4
5703,5725,5
5755,5771,4
5720,5779,4
1254,4190,6
1444,2544,6
1444,5460,5
4665,4911,5
2728,4933,6
4430,4945,5
798,3238,7
727,4428,4
5932,5986,4
5938,5991,4
5974,5999,4
5918,5952,5
5917,5922,5
652,1982,4
2137,5133,4
6080,6083,4
5726,5991,5
1636,5916,4
4969,5490,4
4988,6092,6
6426,6485,4
2544,5420,4
3492,5467,4
2596,5467,5
4346,4988,4
3991,4523,6
4982,6402,5
6866,6870,5
1598,4551,4
3991,4641,4
4082,4632,4
1444,4178,4
4205,4646,4
4292,5356,4
6912,6979,4
7014,7025,4
7326,7392,4
7442,7485,4
7421,7436,4
5740,5984,5
2556,5946,7
188,3164,4
3928,7616,4
675,4814,4
3197,3575,4
5771,5964,6
7707,7792,5
7713,7737,4
4373,5724,5
1619,5954,5
324,5769,5
5720,6469,5
7868,7889,5
7810,7834,4
7827,7853,4
2182,2288,4
1994,3858,5
844,2075,4
8114,8197,4
5390,5858,4
7793,8386,4
7832,8353,5
1182,7866,5
8517,8557,4
8577,8593,4
758,4321,4
3191,3896,4
1028,7543,4
3016,4734,4
2401,3171,4
5494,6824,5
1619,6870,4
1619,4607,4
1619,6071,4
5706,6039,5
5964,6077,5
5964,6096,5
4373,4942,4
4373,6880,4
6001,6469,4
438,4674,4
6069,6814,4
6069,6885,4
5440,6008,4
5966,6866,4
6096,6858,4
5481,6814,4
5788,6847,4
2773,5993,4
6047,6833,4
6047,6898,4
4412,6866,4
5771,6016,4
6160,6784,4
6950,7192,4
8732,8749,4
8722,8792,4
3169,7685,4
625,3330,7
2238,7685,4
901,2868,4
3292,8190,4
1332,5803,4
258,4147,4
7618,8289,4
8013,8180,4
4563,8497,4
3471,3527,4
1938,5220,4
5332,6396,5
9040,9058,4
9035,9091,5
1956,5740,4
439,6093,4
756,8245,4
877,8350,4
2982,3743,4
1468,8146,4
648,3773,5
286,3749,4
2906,5584,5
6796,7605,5
901,5505,5
5579,7602,4
5509,5789,6
6745,8353,4
6745,7868,4
6745,8289,4
6786,7602,4
3418,7605,8
1940,7685,4
4249,8289,4
6558,9027,4
2964,6857,6
451,8037,4
2527,5456,4
1613,4395,4
2939,6773,5
6052,8411,7
1053,4395,4
3346,8108,4
4514,8542,7
4034,8969,4
701,4171,4
9650,9686,4
9610,9619,5
9720,9773,4
3253,8906,4
8589,9282,5
6019,7851,4
8019,9386,4
3078,8895,4
8558,8862,4
7712,8777,4
4223,7268,4
1858,4458,4
5672,9679,4
4553,5096,4
4553,5652,4
622,9610,4
2841,8793,4
3773,4253,4
1321,2323,4
75,3616,5
1849,2231,7
855,5538,5
3447,9014,5
4820,9700,6
3970,5966,4
3536,8197,6
10326,10354,4
1223,6694,5
848,6730,4
1055,8526,4
9362,9755,4
2886,4670,5
3590,4850,6
760,7076,5
6304,9598,4
10412,10454,4
10408,10420,5
10438,10485,4
10449,10480,4
10419,10482,4
3968,8351,6
9078,10493,4
4454,4717,4
10517,10561,4
5447,7896,5
4283,10107,4
7643,9098,5
3356,3741,5
5867,10658,4
8257,8562,6
4743,7874,4
3837,9068,6
7162,9282,7
5163,10145,4
1637,4034,5
2231,3064,5
191,8262,6
10716,10726,4
10704,10720,4
10753,10766,5
10720,10780,8
10720,10767,4
6946,7014,4
