Passenger 1 ID,Passenger 2 ID,Number of flights together
381,392,5
401,459,4
546,592,5
658,688,4
638,657,4
645,698,4
706,791,7
743,749,5
727,786,6
766,772,6
737,762,5
775,782,4
773,791,5
719,755,5
755,799,5
701,716,9
740,768,6
804,822,4
859,894,8
1106,1173,8
355,1043,4
381,1031,6
381,1044,4
1293,1300,5
1313,1330,5
611,622,5
305,1057,4
1323,1391,6
1403,1423,7
328,740,5
334,762,4
763,1056,6
1587,1598,5
1505,1577,4
1606,1626,4
1915,1958,5
1923,1957,4
2001,2062,4
2172,2180,4
2109,2168,4
2119,2144,4
2116,2158,4
2141,2142,4
2136,2145,4
2136,2163,4
2206,2268,4
2207,2288,5
2272,2291,4
2434,2476,4
2426,2457,4
134,2370,4
6,121,4
141,2068,4
2867,2894,4
2957,2975,4
3037,3052,4
3039,3049,4
3123,3199,4
3153,3161,4
3104,3112,4
3208,3230,4
3323,3369,4
226,670,8
299,610,6
205,650,6
3405,3463,4
1269,2699,6
1569,2655,4
1506,2699,4
1506,2674,4
3529,3598,4
3637,3677,5
3770,3791,6
3872,3880,4
3837,3881,4
3849,3881,4
3858,3865,4
3906,3966,4
3912,3943,4
4043,4089,4
690,3198,4
232,468,4
255,1300,4
1608,2501,6
1636,3120,5
2248,3582,4
1662,2803,4
4202,4287,4
4203,4241,6
3154,3411,4
3151,3477,5
419,3157,4
2600,3162,4
625,2868,5
904,1361,4
4309,4373,8
975,1310,4
910,1332,5
949,1328,4
3180,3941,4
1014,1673,5
2573,2655,5
822,3735,4
2212,3589,8
2255,3571,5
2264,3535,5
2281,3535,5
4460,4474,5
2498,3624,4
4084,4340,4
4011,4353,6
4609,4645,4
4646,4671,4
86,1482,4
1666,2759,7
477,1817,7
1818,2867,7
1429,1611,4
930,1666,6
1310,2758,4
1975,4317,5
288,1903,4
1828,4607,5
4991,4993,5
4980,4991,5
494,2672,5
5009,5042,5
5019,5086,4
5139,5155,4
2405,2985,4
1384,3671,4
1384,2223,4
1343,2660,5
309,5122,4
719,5138,5
5478,5490,6
5412,5478,4
5486,5491,6
5406,5478,4
1445,5194,4
5638,5677,4
5653,5685,4
5623,5659,4
1666,5466,6
4353,5409,4
3321,3779,4
1734,4331,4
5761,5769,8
780,2949,5
1643,5460,5
4656,4945,5
2231,4404,5
3928,4440,5
4495,4628,4
3572,3963,5
443,4945,5
470,3524,4
1972,5881,4
1011,3247,5
1011,3336,4
867,3645,4
5928,5936,4
5907,5918,5
5911,5949,7
5946,5978,8
1994,5808,4
1976,4211,4
3012,4981,5
2446,4473,5
770,3235,4
688,4432,6
1616,5727,4
5775,5996,4
2869,5708,4
2747,5204,5
5484,6089,4
5404,6059,6
1701,3615,4
1692,4609,4
1692,6004,4
3998,4967,4
391,4430,6
391,5455,5
1598,3527,4
2596,3937,5
6553,6584,4
6033,6455,4
6717,6749,4
6740,6777,5
6730,6798,4
6866,6885,5
3527,4178,4
6985,6994,4
7044,7090,4
7147,7181,5
7442,7460,4
7526,7553,4
2030,7524,4
1817,5744,6
1016,4845,5
3971,5116,5
4260,5842,4
7711,7792,4
7757,7769,4
959,5724,5
1250,5911,4
347,3573,4
1015,1333,4
7934,7971,5
7948,7949,4
8007,8073,7
2556,3642,5
2645,5946,4
8123,8140,5
8230,8280,6
8222,8289,6
5755,6807,4
8314,8362,4
4438,7792,4
7342,8307,4
7331,8384,5
2926,7872,7
2530,3101,6
4663,4862,4
5905,7608,5
4728,7098,5
2088,6531,4
1452,7180,4
4286,4591,4
4279,7162,4
7733,7882,4
347,7331,4
3171,4919,4
4944,8097,4
6418,8015,5
6071,6848,4
5724,6878,4
2734,6878,4
5443,6880,4
950,5443,4
6001,6870,4
5977,6836,4
477,6853,5
477,6069,4
2717,6896,4
4674,5769,4
184,6063,4
4990,6469,4
4990,6898,4
5481,6847,4
1865,4373,4
4942,6469,4
5734,6049,4
4412,6874,4
4412,5720,4
5771,6001,5
18,8450,4
5912,6950,4
2227,5800,4
8690,8692,4
6364,6849,4
1182,1208,4
7770,8297,5
7039,8353,6
2926,5423,8
7685,8158,6
4075,7653,4
2326,7606,4
432,7619,4
8956,9000,7
8939,8977,4
8935,8993,4
8934,8970,4
8950,8969,4
1265,5529,4
3642,4889,4
2656,8024,4
3071,4147,5
4593,6040,4
5411,7866,7
4223,5560,4
3670,8180,6
1697,6347,4
3920,8690,4
3147,3255,5
551,4795,4
1933,4742,4
9014,9030,4
7822,8245,4
4862,8350,6
1335,8213,4
288,8105,4
3730,3979,4
2458,4105,4
5648,7810,4
3418,5566,5
3418,6750,4
3418,6707,8
5566,7866,5
6548,9059,4
2651,3216,4
9253,9298,4
5989,8073,4
1244,6294,5
4700,8037,4
8073,8403,4
1095,4171,4
6205,7034,4
5198,8936,4
5198,8960,5
9353,9374,4
9366,9384,4
9340,9342,5
4384,6752,5
9562,9598,7
2018,6968,4
534,7612,5
9650,9656,4
9628,9648,5
4541,9586,4
979,2504,5
979,7590,5
8598,9212,5
83,9359,4
262,8509,4
1319,4827,4
2437,8574,7
4359,9963,4
908,2076,4
481,1733,5
2625,8961,5
1635,6447,4
4468,5819,4
6720,9303,4
5383,9622,4
4860,9611,4
4329,9648,4
6857,7393,7
6857,8733,4
148,8729,6
10103,10153,4
4824,7718,4
10224,10279,4
315,8225,4
6827,8194,4
6289,8112,4
2773,3249,4
1135,4541,4
2504,8949,4
6886,8846,4
4249,5737,5
3172,9333,4
4850,10396,5
10412,10431,4
10428,10439,4
10403,10408,4
10470,10492,4
10464,10465,4
10474,10497,4
10466,10469,4
7180,7821,4
9363,9453,4
9006,10335,4
10502,10553,4
9441,10368,4
1917,7643,5
9069,9874,5
7813,9410,4
9381,9903,4
6304,9940,4
6304,8742,4
511,10539,7
9777,10541,5
5533,8596,6
6478,7747,4
2354,9645,6
2345,5330,5
3187,9700,5
10760,10786,4
10776,10788,4
10706,10718,6
10704,10778,4
10737,10799,5
10728,10771,4
4418,8001,4
4397,8704,6
10911,10936,4
4955,9383,5
10596,10640,5
