Passenger 1 ID,Passenger 2 ID,Number of flights together,From,To
23,9954,6,2017-07-08,2017-09-09
75,1966,7,2017-07-01,2017-08-12
80,11225,6,2017-07-21,2017-09-28
92,1189,7,2017-06-24,2017-09-03
92,9098,8,2017-06-08,2017-08-18
139,8025,6,2017-10-01,2017-11-17
148,484,6,2017-05-19,2017-07-11
148,4774,6,2017-05-19,2017-07-11
167,7162,9,2017-05-25,2017-07-23
167,10128,6,2017-05-25,2017-07-12
174,497,7,2017-05-19,2017-10-07
174,8262,6,2017-05-19,2017-07-11
191,392,7,2017-05-22,2017-07-11
191,2024,6,2017-06-15,2017-07-12
191,2336,6,2017-05-24,2017-07-11
191,4202,6,2017-05-24,2017-07-11
191,6729,8,2017-05-22,2017-07-12
191,8729,6,2017-06-15,2017-07-12
210,8912,7,2017-05-16,2017-09-21
211,8961,9,2017-05-29,2017-07-13
335,10460,6,2017-06-04,2017-08-20
363,6519,8,2017-09-07,2017-12-01
366,9225,6,2017-07-13,2017-09-02
382,4820,7,2017-05-22,2017-07-11
382,9699,6,2017-05-24,2017-07-11
391,11649,6,2017-08-13,2017-09-15
392,4820,7,2017-05-22,2017-07-11
392,7209,8,2017-05-18,2017-07-11
392,7898,8,2017-05-18,2017-07-11
398,7799,6,2017-06-05,2017-09-21
435,1563,7,2017-08-02,2017-09-11
435,11285,6,2017-08-02,2017-09-10
479,9068,6,2017-06-13,2017-07-23
484,2354,6,2017-05-19,2017-07-11
486,4165,6,2017-06-26,2017-09-18
497,2012,6,2017-05-19,2017-07-11
517,2702,6,2017-09-05,2017-11-18
517,4147,6,2017-08-16,2017-09-26
524,12113,6,2017-09-05,2017-10-17
556,1164,7,2017-07-01,2017-08-19
613,1142,6,2017-09-15,2017-11-06
628,4827,8,2017-07-30,2017-11-21
628,5380,6,2017-10-31,2017-11-21
628,5943,6,2017-06-03,2017-08-21
628,13781,6,2017-10-31,2017-11-21
728,8194,6,2017-07-13,2017-07-30
736,2532,6,2017-07-13,2017-07-29
741,10767,6,2017-08-12,2017-11-14
816,4092,7,2017-05-10,2017-09-01
855,1254,6,2017-07-12,2017-08-07
855,2234,6,2017-05-07,2017-07-12
863,1041,6,2017-07-13,2017-10-11
888,8424,6,2017-05-24,2017-07-18
905,8317,6,2017-08-27,2017-10-31
908,7645,6,2017-07-12,2017-10-11
932,4453,6,2017-06-16,2017-07-19
942,7737,6,2017-07-03,2017-08-19
953,6084,8,2017-07-05,2017-09-09
953,7381,6,2017-06-27,2017-08-19
953,10449,6,2017-06-27,2017-08-19
996,7720,6,2017-08-27,2017-11-08
1021,6622,6,2017-08-11,2017-11-06
1024,9441,6,2017-07-03,2017-08-19
1064,2117,6,2017-07-13,2017-07-29
1064,4584,6,2017-07-13,2017-08-09
1064,8006,6,2017-07-26,2017-11-06
1064,8194,6,2017-07-13,2017-08-09
1079,6471,6,2017-07-21,2017-09-08
1079,9385,6,2017-07-21,2017-09-08
1079,9395,6,2017-07-21,2017-09-08
1115,3332,6,2017-08-29,2017-10-15
1115,4735,6,2017-08-02,2017-10-15
1164,9063,7,2017-07-01,2017-08-19
1189,5002,7,2017-05-04,2017-09-03
1208,5789,6,2017-05-06,2017-06-05
1240,4070,7,2017-07-24,2017-11-06
1240,5096,6,2017-07-24,2017-10-25
1246,1831,8,2017-05-03,2017-07-04
1246,5459,7,2017-06-24,2017-08-18
1254,10833,6,2017-07-12,2017-08-07
1337,9324,7,2017-06-10,2017-09-03
1343,6777,6,2017-05-20,2017-07-04
1343,9752,8,2017-06-24,2017-08-06
1343,11275,6,2017-06-24,2017-07-28
1378,7579,6,2017-07-13,2017-07-29
1389,9410,6,2017-06-12,2017-07-17
1410,11171,6,2017-08-11,2017-09-10
1413,6827,6,2017-07-13,2017-08-08
1413,10497,7,2017-07-04,2017-07-29
1417,3558,6,2017-07-30,2017-10-23
1434,4774,7,2017-05-19,2017-07-27
1490,4056,6,2017-07-05,2017-07-26
1505,3223,6,2017-05-13,2017-07-23
1511,6652,6,2017-05-17,2017-07-20
1555,3332,6,2017-08-14,2017-09-19
1573,1955,7,2017-06-30,2017-09-09
1617,6111,6,2017-07-16,2017-09-08
1617,7191,6,2017-07-16,2017-09-08
1641,10334,6,2017-05-30,2017-11-23
1673,8128,6,2017-05-27,2017-08-21
1677,6052,6,2017-05-17,2017-06-25
1677,8363,7,2017-05-29,2017-07-05
1677,10368,6,2017-05-30,2017-07-05
1678,7801,6,2017-07-23,2017-09-24
1678,9828,9,2017-06-24,2017-09-18
1715,1849,7,2017-05-22,2017-07-11
1715,2354,7,2017-06-15,2017-07-18
1715,4820,9,2017-05-22,2017-07-18
1747,4816,6,2017-07-30,2017-09-10
1752,2262,6,2017-05-07,2017-06-27
1762,8912,7,2017-05-16,2017-09-21
1769,2065,6,2017-06-13,2017-07-23
1769,5007,7,2017-06-26,2017-11-27
1829,11871,6,2017-08-12,2017-11-14
1849,3618,6,2017-05-24,2017-07-11
1849,5522,7,2017-05-22,2017-07-11
1849,9699,6,2017-05-24,2017-07-11
1947,5012,6,2017-11-08,2017-11-24
1947,13819,6,2017-11-08,2017-11-24
1977,8664,6,2017-10-22,2017-12-01
2012,8729,6,2017-05-19,2017-07-11
2068,3356,6,2017-06-06,2017-06-24
2090,8260,6,2017-05-19,2017-07-11
2097,2718,6,2017-07-01,2017-08-01
2097,5459,6,2017-06-24,2017-07-28
2097,11275,6,2017-06-24,2017-07-28
2100,10806,6,2017-07-07,2017-09-16
2100,10900,6,2017-07-07,2017-09-16
2123,8246,6,2017-05-05,2017-07-22
2124,6208,6,2017-05-01,2017-05-27
2201,6827,6,2017-05-24,2017-11-25
2207,10818,6,2017-07-07,2017-11-21
2231,4451,7,2017-05-22,2017-07-11
2231,4774,6,2017-06-15,2017-07-12
2231,5522,8,2017-05-22,2017-07-12
2231,9700,6,2017-05-24,2017-07-11
2234,5538,6,2017-05-24,2017-07-21
2254,8810,6,2017-05-13,2017-06-20
2258,3513,7,2017-08-28,2017-11-08
2336,9066,6,2017-05-24,2017-07-11
2354,6729,6,2017-06-15,2017-07-12
2437,10767,6,2017-07-24,2017-10-25
2443,9212,6,2017-05-11,2017-08-01
2457,6468,6,2017-07-01,2017-08-25
2476,11610,6,2017-07-24,2017-09-04
2504,4541,7,2017-05-11,2017-05-29
2504,7506,6,2017-05-24,2017-09-25
2522,3149,6,2017-09-25,2017-11-22
2544,8006,7,2017-06-26,2017-08-09
2581,4496,6,2017-05-22,2017-07-19
2581,4650,6,2017-05-22,2017-07-19
2588,6591,7,2017-09-10,2017-11-27
2588,12323,8,2017-09-01,2017-11-27
2685,11105,6,2017-07-19,2017-11-06
2728,8557,6,2017-05-05,2017-07-22
2857,2926,8,2017-05-06,2017-06-27
2886,5989,6,2017-05-01,2017-05-30
2886,8037,7,2017-05-01,2017-06-05
2926,6447,6,2017-05-17,2017-06-24
2926,10396,7,2017-06-05,2017-09-04
2945,5522,6,2017-06-15,2017-07-12
2960,6813,7,2017-05-29,2017-09-16
2973,5423,6,2017-06-06,2017-06-25
3021,3090,9,2017-06-10,2017-10-08
3021,3223,6,2017-06-10,2017-07-23
3021,8006,6,2017-06-10,2017-07-23
3028,8262,6,2017-05-19,2017-07-11
3090,6113,7,2017-06-26,2017-08-07
3090,8562,8,2017-06-10,2017-08-07
3090,8596,7,2017-06-26,2017-08-07
3153,4552,6,2017-06-06,2017-06-24
3153,10377,6,2017-06-06,2017-06-24
3223,8584,6,2017-06-10,2017-07-23
3237,3443,7,2017-05-01,2017-07-16
3278,4441,6,2017-06-06,2017-06-25
3278,6750,6,2017-05-06,2017-06-11
3278,8158,8,2017-05-06,2017-06-18
3286,3590,6,2017-06-12,2017-09-18
3286,7643,6,2017-06-08,2017-08-22
3286,7810,6,2017-06-06,2017-06-24
3298,11014,6,2017-07-12,2017-09-15
3317,3779,6,2017-05-04,2017-10-20
3332,10569,6,2017-08-08,2017-09-10
3332,11896,7,2017-08-04,2017-09-10
3356,8048,6,2017-06-06,2017-06-24
3361,8406,7,2017-07-02,2017-08-15
3382,13900,6,2017-10-15,2017-11-24
