Passenger 1 ID,Passenger 2 ID,Number of flights together,From,To
61,484,6,2017-05-19,2017-07-11
75,2701,6,2017-05-22,2017-07-19
75,4496,6,2017-05-22,2017-07-19
75,8101,6,2017-07-02,2017-09-19
139,4478,6,2017-08-27,2017-11-08
148,8262,6,2017-05-19,2017-07-11
167,9258,7,2017-06-14,2017-07-23
174,2024,6,2017-05-19,2017-07-11
182,1434,6,2017-05-19,2017-07-14
191,382,7,2017-05-22,2017-07-11
191,2354,6,2017-06-15,2017-07-12
191,7898,7,2017-05-22,2017-07-11
218,6165,6,2017-07-24,2017-09-18
258,6827,7,2017-07-17,2017-08-10
258,9068,7,2017-06-26,2017-07-30
258,9977,6,2017-07-17,2017-08-10
288,2718,6,2017-07-01,2017-08-01
288,5742,6,2017-05-15,2017-07-01
368,9091,6,2017-05-10,2017-09-14
382,392,7,2017-05-22,2017-07-11
382,1849,7,2017-05-22,2017-07-11
382,2231,7,2017-05-22,2017-07-11
391,9988,6,2017-07-08,2017-09-09
392,3618,6,2017-05-24,2017-07-11
392,9645,6,2017-05-24,2017-07-11
399,9710,6,2017-07-04,2017-11-16
435,2171,6,2017-08-02,2017-09-10
446,2125,6,2017-10-11,2017-11-07
446,13623,6,2017-10-22,2017-11-21
479,3837,6,2017-06-13,2017-07-23
479,5533,6,2017-06-13,2017-07-23
479,9282,6,2017-07-17,2017-08-11
479,10644,6,2017-07-17,2017-08-11
484,3064,6,2017-05-19,2017-07-11
486,7810,6,2017-07-24,2017-10-08
497,8260,6,2017-05-19,2017-07-11
534,8146,6,2017-05-07,2017-07-15
582,11874,6,2017-07-24,2017-10-17
620,6777,6,2017-07-02,2017-08-12
628,6114,6,2017-06-03,2017-08-21
798,10308,7,2017-09-21,2017-11-18
813,2482,7,2017-05-02,2017-09-12
855,8679,6,2017-07-17,2017-11-23
993,6468,6,2017-07-02,2017-09-09
1020,1437,8,2017-05-24,2017-09-18
1024,7737,6,2017-07-03,2017-08-19
1030,7068,6,2017-07-04,2017-09-03
1041,1378,10,2017-07-13,2017-09-04
1052,1158,8,2017-06-30,2017-10-31
1089,6154,6,2017-06-10,2017-09-21
1099,8101,6,2017-09-07,2017-11-01
1138,9659,6,2017-07-13,2017-08-07
1142,10398,6,2017-09-15,2017-11-06
1189,3921,6,2017-06-28,2017-09-03
1208,6813,6,2017-05-06,2017-06-05
1218,9441,7,2017-07-08,2017-09-03
1246,8004,6,2017-07-02,2017-09-21
1335,9500,6,2017-07-04,2017-09-14
1337,1573,6,2017-06-30,2017-09-03
1337,8427,6,2017-06-30,2017-09-03
1378,2532,6,2017-07-13,2017-07-29
1378,7076,7,2017-07-13,2017-08-08
1413,4632,6,2017-07-17,2017-08-08
1437,2967,7,2017-05-24,2017-07-30
1464,9441,8,2017-07-23,2017-10-04
1591,7099,6,2017-09-29,2017-11-27
1613,6750,6,2017-05-17,2017-08-27
1613,7662,6,2017-05-17,2017-08-27
1613,8461,8,2017-05-01,2017-08-27
1637,3187,6,2017-05-19,2017-07-11
1641,2926,6,2017-06-18,2017-09-15
1673,5748,6,2017-07-21,2017-09-04
1673,10015,6,2017-07-21,2017-09-04
1677,3590,8,2017-05-06,2017-06-18
1677,6447,7,2017-05-17,2017-06-18
1678,1927,6,2017-07-01,2017-08-01
1715,2945,6,2017-06-15,2017-07-12
1715,5503,6,2017-05-24,2017-07-11
1715,8729,6,2017-06-15,2017-07-12
1715,9700,6,2017-05-24,2017-07-11
1739,5123,6,2017-08-24,2017-11-19
1747,8368,6,2017-07-30,2017-09-10
1747,9385,6,2017-05-12,2017-08-21
1769,2964,6,2017-05-01,2017-11-27
1769,6857,7,2017-05-01,2017-11-27
1800,3622,6,2017-05-22,2017-11-16
1822,7560,9,2017-05-24,2017-10-06
1849,6729,7,2017-05-22,2017-07-11
1917,10107,6,2017-06-08,2017-09-16
1927,9828,6,2017-07-01,2017-08-01
1966,8644,6,2017-07-02,2017-08-12
1966,10484,6,2017-08-08,2017-09-22
1966,11883,7,2017-07-24,2017-09-22
2012,2354,6,2017-05-19,2017-07-11
2012,3064,6,2017-05-19,2017-07-11
2024,6560,7,2017-05-19,2017-07-12
2054,9369,6,2017-07-21,2017-09-08
2054,10097,6,2017-07-21,2017-09-08
2065,7747,6,2017-06-13,2017-07-23
2065,8006,6,2017-06-26,2017-11-06
2065,9068,6,2017-06-13,2017-07-23
2068,8048,7,2017-05-17,2017-06-24
2097,9752,9,2017-06-24,2017-09-18
2108,5209,6,2017-07-13,2017-09-21
2117,7579,6,2017-07-13,2017-07-29
2123,2728,6,2017-05-05,2017-07-22
2160,6072,6,2017-10-02,2017-11-20
2174,3432,6,2017-07-13,2017-07-29
2185,4749,7,2017-07-08,2017-11-20
2185,8010,7,2017-05-15,2017-08-18
2201,5533,7,2017-05-24,2017-07-23
2223,2441,6,2017-08-06,2017-11-16
2231,4202,6,2017-05-24,2017-07-11
2231,6729,8,2017-05-22,2017-07-12
2231,7209,8,2017-05-22,2017-07-12
2234,9223,6,2017-06-14,2017-07-31
2262,4253,7,2017-05-20,2017-07-20
2323,5867,7,2017-05-20,2017-07-30
2336,7560,6,2017-05-24,2017-07-11
2345,3028,6,2017-05-19,2017-07-11
2345,8260,7,2017-05-19,2017-07-12
2408,9858,6,2017-09-24,2017-10-25
2472,6583,6,2017-05-13,2017-09-14
2479,3851,6,2017-07-13,2017-10-25
2482,4441,6,2017-06-06,2017-06-25
2482,8775,7,2017-05-11,2017-06-25
2489,5696,7,2017-07-13,2017-08-08
2489,7098,6,2017-07-13,2017-07-29
2504,3149,6,2017-06-19,2017-10-12
2504,9924,7,2017-05-15,2017-06-29
2544,8257,6,2017-06-26,2017-07-26
2548,4957,6,2017-09-24,2017-11-27
2626,3173,6,2017-09-26,2017-11-19
2701,4650,6,2017-05-22,2017-07-19
2719,9586,8,2017-05-11,2017-08-25
2719,9742,6,2017-05-18,2017-11-14
2720,4449,6,2017-06-01,2017-08-13
2723,4142,7,2017-05-07,2017-06-20
2728,8246,6,2017-05-05,2017-07-22
2886,6447,7,2017-05-01,2017-06-05
2910,11360,6,2017-07-05,2017-11-23
2939,6020,6,2017-05-01,2017-05-30
2939,8068,7,2017-05-01,2017-06-05
3021,6529,6,2017-07-17,2017-08-11
3021,8584,8,2017-06-10,2017-08-07
3021,8596,8,2017-06-26,2017-08-11
3029,4778,6,2017-07-01,2017-08-04
3029,9997,6,2017-06-24,2017-07-21
3090,8257,7,2017-05-15,2017-07-23
3090,9282,6,2017-07-17,2017-10-08
3112,3243,7,2017-06-28,2017-08-09
3112,4363,6,2017-07-17,2017-08-09
